,MCI+E2f4VP16_1,MCI+E2f4VP16_2,MCI+E2f4VP16_3,MCI+siRbl2_1,MCI+siRbl2_2,MCI+siRbl2_3,MCI+siCTL_1,MCI+siCTL_2,MCI+siCTL_3,Control_1,Control_2,Control_3
1700016K19Rik,8.762809521,8.708079186,8.704419423,8.76593335,8.686293824,8.785080543,6.720654757,6.756860238,7.034885337,5.483739433,5.207716035,5.186794018
Coro2a,7.82490215,7.721300827,7.841007988,8.132301256,8.165517223,8.242680652,7.85326201,7.728910495,7.880499606,6.526599724,6.417995874,6.283776007
Ak7,8.97243658,9.02769704,8.931907316,8.766860461,8.711904217,8.711794846,6.335621244,6.221833637,6.007322929,5.345196673,5.150320655,5.078924713
Mdm1,10.28796884,10.28268753,10.19748334,10.07213898,10.00976007,10.04368444,8.811080315,8.617021264,8.771499783,8.039547687,7.942437255,8.067032632
Mak,7.76077545,7.755274272,7.767490266,7.231885208,7.302532184,7.199862883,5.497406547,5.422707473,5.571003657,4.705137878,4.529450347,4.559628092
Nme5,9.961533772,9.94375,9.969069114,9.608935566,9.653788929,9.700373279,8.307102246,8.361301774,8.347932142,6.618654931,6.73621084,6.520606759
Ttc25,8.956550442,8.890971919,8.966418304,8.63103638,8.62157115,8.705653147,7.231839011,7.041475124,7.151567314,5.885396198,5.900180609,5.692619951
BC049715,6.092452978,6.361673717,6.173091467,5.024523069,5.068921734,5.032134145,3.779266464,4.246019282,4.424680561,3.935125528,4.065454751,4.595970218
Alms1,10.73745985,10.75666495,10.74324681,10.48120895,10.34780933,10.51318163,9.825158837,9.780565435,9.707402101,8.909448,8.65636791,8.528285014
Rsph1,10.16935031,10.16212136,10.15838856,9.834093005,9.754360695,9.820990977,8.102426127,8.153665814,8.242071062,6.982022135,6.963278402,6.99404861
Lmln,10.34800592,10.38491657,10.31024487,9.975246286,10.01649999,10.11716167,9.201549142,9.142434998,9.11823941,8.186302929,8.067348637,8.095158808
Glra3,3.933261662,3.741401716,3.753804303,3.470128963,2.866692944,3.180206182,2.582519653,3.00442165,2.578204772,2.531770129,2.599543677,2.633342574
Foxn4,8.513993958,8.619686006,8.523548262,8.102768361,8.298331976,8.351436332,6.136715683,6.192300177,6.039892113,4.93923136,4.890800983,4.821682343
Fsip1,7.320543206,7.339581107,7.325552939,7.122279766,7.161652643,7.20056306,5.99242734,6.003090877,5.783586323,4.931661503,4.91174764,4.966198908
Glrp1,1.834315132,1.982082844,2.065225152,1.572439026,1.563190422,1.628888487,1.565472745,1.570676557,1.562130739,1.515520907,1.49937405,1.40094794
Morn5,8.865086202,8.836692962,8.778641635,7.998461098,7.956260659,8.110578525,6.002842248,5.969445883,6.005877964,5.200379304,5.140758518,5.485529737
Ppp1r36,8.431175017,8.402710852,8.127236208,8.661342135,8.669618647,8.759649215,7.023725636,6.609861671,6.893437627,5.562659991,5.603147466,5.81389022
Rnf32,7.967898126,7.936138202,7.865485049,7.494219208,7.318262869,7.342560756,6.015103796,6.071763332,6.016442797,5.848529678,6.074677558,5.896578894
Odf3b,4.533636352,3.778014735,4.13376472,4.705905696,4.362380251,4.573021308,3.204717143,3.28302611,2.975762534,2.943771177,2.913663774,2.870227357
Pde9a,3.545810519,3.396554555,3.587644036,4.204883653,4.416559463,4.601241472,4.398067108,4.162916262,4.65522371,4.62621376,4.683526755,4.796679786
Ulk4,9.227251258,9.315161103,9.178765547,9.135720512,9.089888049,9.044265885,8.375274819,8.413219083,8.32397466,7.438771676,7.421926573,7.222379014
Rsph9,9.338383451,9.406643258,9.321025567,9.006520992,9.052957733,8.926708853,7.678410476,7.883085092,7.837616507,7.007658699,7.238491676,7.353028596
Fam161a,9.001139218,9.232990107,9.117172978,9.1058193,9.113205931,9.223965655,7.902417972,7.912440627,7.943694066,7.306002277,7.170302509,7.360193733
Dcdc2a,6.679653528,6.52577473,6.260620761,6.119724039,6.335802787,6.380573699,4.846020395,4.866580915,4.799989608,4.521043053,4.45277749,4.204415011
Hspa1l,7.297774895,7.323023072,7.199712854,6.513910327,6.785409139,6.773907916,6.201190576,5.968033945,5.986616833,5.47379472,5.238564545,5.47854944
Ccno,12.6632341,12.67192138,12.70672488,12.03244721,11.96330618,11.96797757,10.50989787,10.4627748,10.48811584,8.145895533,8.14595306,8.089286876
Calcoco2,4.019240354,3.708599497,4.0086832,3.8560714,3.758180562,3.647844346,2.818594575,3.037797952,2.734898525,2.693423875,2.668883752,2.633589888
Rbp4,5.142785771,5.122594676,5.217390246,5.970599043,6.061119078,5.90816474,6.255456174,6.440147848,6.101270067,6.357437322,6.231611406,6.348948875
Spef1,9.272221476,9.36611898,9.198380347,8.901861694,8.833208391,8.881351537,7.861451959,7.760720508,7.690708223,7.325196635,7.418729212,7.153129135
Efcab10,2.649777296,2.572296507,2.129457406,2.77524959,2.940035742,2.996452916,1.965260686,2.138695922,2.127885377,1.989238438,1.974166738,1.952655224
Capn6,11.67706755,11.68339117,11.69153092,12.80607716,12.78547405,12.78873716,12.89945436,12.84846213,12.9128495,13.23816545,13.24232257,13.2315187
Rhpn1,6.858172255,7.074405428,7.080080652,6.806084416,6.989028385,6.786200393,6.269095661,6.034247796,6.193097511,5.7253784,5.857564691,5.480299761
Dnajb13,8.071113179,7.920855177,7.977798554,8.371199608,8.243788776,8.375489029,6.466917997,6.372083748,6.617712579,4.9467726,5.003969246,4.88061535
Caps2,6.517619858,6.472104129,6.402168311,6.436060708,6.598530189,6.544494205,5.248324521,5.270476314,5.349142127,4.746211326,4.881405548,5.014920303
Ribc1,6.85951399,6.899940997,7.071164857,6.617781329,6.574390965,6.602634871,5.759881981,5.818041002,5.88698217,5.253208668,4.998776419,5.490269545
Lrwd1,11.23738547,11.2492314,11.20314479,10.76919103,10.71653717,10.78649835,9.917755839,9.951733097,10.00169723,9.671438318,9.709667937,9.714468629
Spa17,9.112838773,9.154084516,9.040920193,8.84766516,8.75321353,8.820149499,7.273185148,7.131986494,7.38717206,6.607073969,6.470215602,6.376125999
H2-Q10,6.827450143,6.455689513,6.836817545,6.632567894,6.492900727,6.456778422,7.141800141,7.031699417,7.287523395,5.59376028,5.308222416,5.622269352
Gprc5c,6.528018187,6.557510749,6.64987208,7.478292736,7.545438588,7.59229676,7.197601262,7.219328932,7.336942967,7.876532315,7.934948613,7.875959198
Ccdc60,4.453204481,4.340374999,4.583574196,4.560593387,4.756669557,4.842416682,3.141534136,3.37102361,3.777080332,3.201721717,3.077568146,3.031224386
Pacrg,7.91036247,7.873322495,7.840907755,7.413427847,7.500176551,7.595319825,6.14939914,5.827385649,5.70906597,5.479041031,5.334328045,5.157719445
Casc1,8.186039742,8.267344517,8.180872666,7.89731328,7.729110144,7.867572407,6.37607256,6.255063219,6.214317475,5.461036074,5.422365947,5.432574633
Kndc1,7.183428724,7.041155562,7.173177484,7.223934913,7.199693303,7.304259633,5.299776114,5.397598879,5.31077522,4.520943869,4.403043861,4.538183916
Ankrd54,11.07294823,11.09461565,11.05070423,10.89063007,10.82544166,10.92470491,9.921620287,9.870232706,9.997011238,9.412231686,9.392343811,9.463680381
Gtf2a1l,1.685744231,1.431692226,1.557737449,1.692206846,1.91564844,1.422752318,1.193764522,1.195657767,1.19254881,1.206791125,1.198585194,1.186980159
Scml2,8.089360633,8.392831703,8.154092036,8.038181422,8.188832956,8.353420967,7.186607909,7.156604571,7.248700292,6.796651986,6.881273193,6.6886122
Spata24,8.999160688,9.022437393,9.039982186,9.252751081,9.197363773,9.200282402,8.28139621,8.287292664,8.26924624,7.631357071,7.779936476,7.647467573
Ccdc103,8.009349082,8.00700208,7.927571552,7.97079351,7.876729353,7.99958198,6.776787765,6.477127212,6.801929003,5.344635769,5.64648316,5.824141724
Scn3b,8.507165765,8.55833148,8.525063385,7.398891523,7.494927959,7.392999359,7.006452108,7.191400951,7.325641273,7.059207426,7.174833178,7.072118122
Nek5,7.193356286,7.337860369,7.380050846,7.29646666,7.121697515,7.330544027,5.432724426,5.588785836,5.320338858,4.625995103,4.509023946,4.372257817
Agbl2,8.523052734,8.548477604,8.50575909,8.584821035,8.570656521,8.832083061,7.805627178,7.954186277,7.87891988,7.091937302,6.982475915,7.165301742
Nudc,12.12921378,12.18502697,12.17429383,11.85551782,11.82481475,11.81989475,11.36611198,11.30733295,11.36218602,10.82877203,10.84643901,10.84505367
Ccdc153,6.159614326,5.823406238,6.201760513,4.80849055,4.546311165,4.618664905,3.970996055,3.82093791,4.103056612,3.700869374,3.402606282,3.340312774
1700029J07Rik,7.77076197,7.921551693,7.735313288,7.554449191,7.423974291,7.485518905,6.466234568,6.382681226,6.449766151,6.428825971,6.090247436,6.216866816
Wdr90,11.1133001,11.15391915,11.15331943,11.22656715,11.25265292,11.26065032,10.63478922,10.67485025,10.66307296,9.301671949,9.265270557,9.246953461
Ccdc158,7.123214173,7.299450248,7.222998804,6.747628191,6.493034151,6.82904907,5.765514918,5.526887561,5.750082663,5.604147558,5.437607337,5.643338513
Sfrp1,10.0177111,9.913352848,9.944637483,11.07158397,11.15812684,11.19992649,11.42996586,11.40215375,11.50257587,11.33115519,11.2808523,11.28396952
Dnali1,9.747177713,9.715023343,9.721981169,9.541505876,9.52038411,9.647577325,7.571395968,7.632546487,7.582213206,5.903713764,5.958429931,5.968236131
Bbs1,9.477395509,9.459263187,9.489020524,9.513095662,9.541415014,9.441361598,8.488976406,8.67138719,8.502090395,8.196358769,8.158574271,8.021948734
Fhad1,7.723526752,7.55376874,7.410347584,7.184238629,7.168106397,7.255180129,5.509870964,5.555509939,5.494779225,4.472766195,4.487502355,4.56936289
Akap14,1.04309532,1.403416618,0.931820707,1.013116431,1.002442553,0.928779664,0.933692594,0.775116778,0.772911952,0.783036991,0.777195672,0.768970678
Flrt1,11.30913522,11.29932219,11.29543249,9.793319618,9.74717103,9.781546641,9.254476132,9.160705331,9.098737423,8.314667458,8.208474648,8.122067347
Poc5,10.68695615,10.72972268,10.68209315,10.17599468,10.18741424,10.09907858,9.585605249,9.51142648,9.493540856,9.393475721,9.201979772,9.341865195
Lrrc51,9.403665548,9.393371523,9.403339343,8.74271631,8.627779522,8.570446002,7.8908048,7.877392069,7.89924478,7.605771749,7.57420472,7.709078447
Ccdc65,9.678402533,9.70744108,9.742815548,9.359068601,9.396524887,9.463475534,7.833798731,7.88963672,7.845513424,7.25635272,7.153549425,7.254603981
Ccdc74a,8.742445968,8.774035352,8.803320338,8.800372234,8.750284637,8.816228814,7.881707939,7.896788547,7.941632701,7.582401869,7.411352078,7.343005713
Odf2l,10.36973496,10.3229232,10.33366,10.01458425,9.941333005,10.0436962,9.323003755,9.380537823,9.372762567,8.966844728,8.959348038,9.047943663
Fam183b,6.835432271,6.843030238,6.675838754,7.740219547,7.671901741,7.794785095,5.59810619,5.35178469,5.387739221,4.381490611,4.331451942,4.25920328
Cmpk2,7.866424828,7.789736245,7.805256755,9.368154112,9.096370464,8.653565742,8.78832513,9.258356105,8.622266052,6.553673633,6.620778147,6.853090052
Dynlrb2,10.02101461,9.868554611,9.900218553,9.626897794,9.612515826,9.610873854,6.97750036,6.877944189,6.942217053,5.722930055,5.639348482,5.581762102
Ccdc89,7.173739198,7.180513243,7.098288146,7.486718893,7.339950269,7.38661418,6.300423223,6.038452644,6.330192277,5.54925772,5.884039878,5.706668663
Fbxo16,6.397031821,6.494073143,6.284955879,6.441835153,6.381972262,6.484501725,5.565172388,5.89334258,5.749015962,4.985337861,4.51303969,4.796448123
Cby1,10.76151047,10.68794967,10.7035749,10.46306868,10.41339799,10.46486278,9.426642798,9.381612615,9.46905678,9.115052839,9.197893193,9.204974739
Slc38a3,4.743386117,5.26847724,4.796321585,5.561615499,5.619344312,5.396431118,5.377762863,5.524396548,5.508604213,4.018566097,3.901681057,3.948437515
Zmynd10,9.397848736,9.387537141,9.400362347,9.391210214,9.266692125,9.360136431,7.659865923,7.641434652,7.443294304,5.743524163,5.935661026,5.768039697
Hyls1,11.20366744,11.20943995,11.17495259,10.68910436,10.65026502,10.6778588,9.754288931,9.706893436,9.744604307,8.367708073,8.549783136,8.377755324
Tekt1,9.2971381,9.32117318,9.230063614,8.953378644,8.845588534,8.932340776,6.522744225,6.534071581,6.592748716,5.408445271,5.266183412,5.202130194
Slc47a2,2.061598259,2.305569669,2.528081739,3.142646623,2.837826688,2.864386761,1.917147486,2.094917485,2.083929086,1.941581928,1.926232977,1.904267726
Tsnaxip1,8.007488231,7.785811349,8.054779578,7.641961877,7.573601027,7.614558738,5.62679108,5.989882439,5.567164751,4.662736057,4.930843899,4.649643155
Spag16,7.008635159,6.981033669,6.796492535,7.784592888,7.666336481,7.808056211,5.950992872,6.022045759,5.949551325,4.744179898,4.630324373,4.497163157
Capsl,4.747212163,5.016203914,4.675029316,4.90155925,4.928729027,5.058827512,3.863158642,4.056206524,3.460189948,3.297111634,3.26242775,3.288241352
Oscp1,10.53229672,10.45496848,10.47767616,10.32562644,10.31588024,10.40055242,9.22365109,9.096786225,9.237934107,8.592479562,8.656564125,8.387571726
Cdkl4,5.579221976,5.735766555,5.740474884,5.926109591,5.886545556,5.930361496,4.716248466,4.357151255,4.532880689,4.350800173,4.471322149,4.546336666
Cep152,10.724417,10.77707885,10.76113089,10.8846138,10.84050176,10.83501465,10.26006177,10.21491987,10.07337151,8.269773242,8.44777935,8.452562454
Iqcd,7.998130472,8.05002764,8.108890447,7.702614682,7.674008621,7.654450207,6.333756271,6.217831672,6.452133886,5.789204155,6.158898842,5.967122398
Spag8,7.609045281,7.484836184,7.552346498,7.26816199,7.336460776,7.385712637,5.363138019,5.530162389,5.34872437,4.465483351,4.540832262,4.459091918
Angptl7,6.716653289,6.719745358,6.746190619,6.638059685,6.517234782,6.585950513,7.130776931,6.942358265,6.783398126,8.138905427,7.987852408,8.147044772
Spata18,5.834897635,5.570544062,5.900413469,7.570884513,7.455983042,7.592522963,4.895453216,5.326254506,4.944548557,4.063672352,4.01279026,3.938763539
1700007K13Rik,9.396542066,9.358135137,9.414084024,9.434570527,9.289874285,9.350542903,8.640002408,8.536636557,8.742773393,7.692328923,7.752974629,7.861208199
Sgk3,10.43753639,10.43019274,10.35887842,9.344097626,9.299507617,9.239983715,8.945881502,8.885214952,8.997640475,8.579562753,8.519859776,8.559084901
Pcsk6,15.04266777,15.08839407,15.09073175,12.989798,12.95071236,12.98006264,12.21395742,12.20360684,12.24622413,11.64749714,11.75437196,11.72847762
Lrrc46,8.614497228,8.648138071,8.727494488,8.747818455,8.623209337,8.73348265,6.508881865,6.918559725,6.701543925,5.730921772,6.075874749,5.802885441
Fermt1,2.321523676,2.097882123,2.366371853,1.890402686,2.365934351,2.449144795,2.029801943,2.225057412,2.262712615,1.821994537,1.810355227,1.793900236
Ttll6,7.666756906,7.779211003,7.604639981,7.644302407,7.4016797,7.369162077,5.568761532,5.374133878,5.531659682,4.518918195,4.592004693,4.397537482
Iqca,6.160455825,6.151871328,6.010851396,5.573068235,5.523422514,5.546580323,4.323283983,4.108857524,3.790832535,3.814845927,3.604898757,3.54127726
Spef2,8.981061066,9.03220417,8.97185143,8.788966966,8.846756552,8.934050803,7.352573712,7.503109657,7.370695727,5.644090088,5.472115922,5.548841611
Kif6,7.467536973,7.453488449,7.401799799,7.157917642,7.114979823,7.068522929,5.913621802,5.954399802,6.350528038,5.680536229,5.213194895,5.363524419
Stk32a,7.01066457,6.915200564,6.985142599,6.82996064,6.709329479,6.707466499,7.319591992,7.312175668,7.252219633,5.27354237,5.618724616,5.343056955
Tppp3,10.95236512,10.96785688,10.93290239,11.30907726,11.28197429,11.29145732,9.46928831,9.396794787,9.539452007,8.393326545,8.398760182,8.402592359
Stil,10.95703642,10.93888716,10.98815259,10.61548,10.55309495,10.62400375,10.02671297,9.999141259,10.06434083,8.647023252,8.602396865,8.636863809
Dtl,11.2571992,11.26496556,11.29623747,11.33009255,11.35324524,11.36516612,10.99082779,11.02142164,10.9756773,9.619418642,9.578117,9.528059716
Cep97,9.634663585,9.622500543,9.565528088,9.06324493,9.035289555,9.115441717,8.199896346,7.918225979,8.066917551,8.307274961,8.200772073,8.292164673
Meig1,8.575491871,8.680568383,8.54403898,8.445467433,8.298088688,8.390098808,5.518759859,5.785394669,5.5327054,4.930838877,4.930961619,4.801985649
Tal2,3.113061052,3.344841786,2.962459082,3.474473826,3.443092248,3.592554206,3.073535336,3.184329354,3.160866929,2.681818854,2.655794568,2.618726452
Hspa4l,12.00515246,11.99988705,11.95468549,11.15788122,11.12972362,11.18278802,10.23026701,10.20421531,10.20467622,9.598566921,9.587072206,9.465752174
Pbx4,8.204720024,8.18369055,8.376649912,7.390512503,7.296110076,7.365714367,6.314727291,6.026177333,6.132169464,5.870727941,5.847945349,5.560619458
Wdr78,11.4221029,11.40361167,11.36740705,10.909005,10.9322435,10.93596497,9.40992336,9.424584435,9.477671397,8.445416062,8.257244686,8.331221269
Ccdc151,9.803725488,9.859043609,9.740577972,9.155935544,9.114468241,9.215208011,7.466873333,7.657505443,7.510786086,6.260325276,6.286984634,6.16658232
Lrrc18,4.655121108,4.560421682,4.191619461,5.54093758,5.301562756,5.755551736,4.437488547,4.054298061,3.884357184,3.375665593,3.337626373,3.35947079
Ube2t,8.4964605,8.434364567,8.455967868,8.29711655,8.230929001,8.240208233,7.295712703,7.250104428,7.303151593,6.566302599,6.840594946,6.690316175
Ccdc61,10.15048309,10.18712438,10.13552832,9.89021945,9.782524065,9.872436306,8.979844507,8.97637934,8.955268904,8.633448633,8.658434572,8.76411185
Ropn1l,7.800514702,7.782040953,7.692152457,7.571711101,7.381341719,7.603923134,6.43200291,6.317648543,6.628141113,6.130532888,6.313021133,6.280719486
Lrrc43,3.978041282,3.903027068,3.380248702,4.250101782,4.454938971,4.343171055,2.805808089,2.896932448,2.957176178,2.762154292,2.734199036,2.693739306
Lrrc56,9.1295545,9.008418921,9.087802162,9.044019727,8.845010071,8.974041196,7.808367324,7.953806083,7.869135444,7.727841785,7.54221168,7.70510211
Ccdc146,9.085958566,9.02635369,8.941978414,8.823774502,8.850710372,8.894160608,6.765204568,6.695488646,6.816632315,5.354597174,5.306522038,5.278815084
Lrrc6,6.175089575,6.361408678,5.914332076,6.407540626,5.94514522,5.977800999,4.62230033,4.606837964,4.236562977,3.827946609,3.782662491,3.716952389
Qser1,12.75860764,12.77395004,12.76495309,11.57764608,11.5957068,11.54172985,11.59153176,11.55354062,11.49409611,11.31764579,11.13764153,11.2053153
Armc4,3.259987255,3.102740755,3.359771097,2.689857206,2.779133489,2.914749909,2.41281871,2.34113616,2.408363916,2.373563284,2.349689798,2.518643001
Lrrc9,8.188042765,8.130031209,8.045049069,8.178854732,8.094950266,8.299820888,6.736303444,6.884450517,6.718572208,5.01316968,5.115496824,4.900581489
Iqub,10.55182577,10.49095447,10.44920104,9.609799033,9.62694678,9.703330936,7.810089366,7.647964566,7.599033215,6.045852483,6.070612258,5.981134331
Cxcl12,12.59734718,12.56565739,12.55626789,13.83540835,13.82896203,13.81872992,13.7056637,13.65951722,13.65412316,14.41395413,14.42788269,14.43792289
Ruvbl2,12.54905315,12.61582939,12.58223525,12.22323448,12.21206075,12.20928104,11.60308798,11.54526572,11.6008207,10.79963476,10.88265225,10.91465385
Ets1,12.26182349,12.23875551,12.28057011,11.17282715,11.11770071,11.08151148,11.3673958,11.30420268,11.33462334,10.63523994,10.63191396,10.56310557
Zfp382,11.15933516,11.19588161,11.2403131,10.64872843,10.55671144,10.68162982,10.28073509,10.19749414,10.20879879,9.736140951,9.579694305,9.567903516
Ccdc17,7.269951554,7.305090377,7.324780876,6.947682772,6.862105416,6.850877762,6.361808704,6.164483273,6.038111746,5.99379976,5.915843738,6.163072332
Mdh1b,7.209836168,7.149648916,7.061923423,6.738721519,6.790129095,6.72771975,4.776785165,4.758281446,4.800493839,4.142832924,4.093208345,4.021268815
1110032A03Rik,10.35949869,10.41092328,10.37299392,10.21108756,10.12302149,10.20714564,9.248150872,9.168479695,9.229766104,8.96136739,8.883280785,9.079223825
Spata17,8.842538573,8.911000717,8.86592318,7.77288544,7.595535913,7.877759426,6.420322333,6.257702217,6.25986927,5.250554158,5.188664863,5.13879608
Tmem52,1.872934453,1.862928917,1.96499177,2.263063618,1.796079883,1.51440442,1.518566801,1.436490631,1.593010639,1.545553271,1.439932922,1.426280009
Rpgr,9.423084845,9.395556709,9.380520629,9.149857358,9.218807951,9.225580887,8.459009983,8.359248728,8.448291274,7.347848956,7.428337682,7.365627453
Lrrc34,8.333609598,8.384048424,8.384359569,8.182842287,8.21416721,8.319061266,6.029318462,6.087172571,6.172528911,4.987094355,5.170957929,4.862205358
Fam161b,9.249167826,9.237430924,9.254406783,9.01146796,8.982232402,9.014465066,7.554920871,7.747999685,7.818973456,6.863493021,6.934455302,6.552782279
Dhx58,9.644825386,9.650595233,9.595702709,10.48753918,10.28985393,10.06685232,10.1677217,10.11462668,10.04087673,8.056486276,8.045015105,8.044816634
