,MCI+E2f4VP16_1,MCI+E2f4VP16_2,MCI+E2f4VP16_3,MCI+siRbl2_1,MCI+siRbl2_2,MCI+siRbl2_3,MCI+siCTL_1,MCI+siCTL_2,MCI+siCTL_3,Control_1,Control_2,Control_3
Cdh18,6.356584903,6.446068224,6.320111799,6.591585128,6.471150689,6.59679562,6.832924377,6.795581975,6.919474005,7.89038544,7.830699514,7.695385656
Dnah5,6.174921401,6.162498188,6.156109383,5.422856792,5.450077667,5.447187249,4.164029855,3.911419798,4.053573775,3.615059786,3.571012436,3.506903944
Ctnnd2,9.182628708,9.226418519,9.239921324,7.179712627,7.143998923,7.089889434,7.877317101,7.664093321,7.727102587,7.657456347,7.711928522,7.809834986
LOC118568167,3.337269063,3.375112517,3.519924555,2.17222338,2.246139342,2.157816584,2.328480508,2.25685084,2.244618727,2.101635499,2.179430809,2.366487223
Ropn1l,7.800514702,7.782040953,7.692152457,7.571711101,7.381341719,7.603923134,6.43200291,6.317648543,6.628141113,6.130532888,6.313021133,6.280719486
Rgs22,3.756929202,3.640040349,3.859797402,4.010132552,4.049546024,3.985030748,2.912610256,3.061405223,3.165199873,2.793059166,2.854379836,2.949402778
Fbxo43,5.519956806,5.850477072,5.647283566,5.433948577,5.470264629,5.738574321,3.865004464,4.192992525,4.16328037,3.670548869,3.542857524,3.482714804
Spag1,8.814819116,8.820834846,8.83738409,8.463341714,8.503996948,8.596693495,7.47781052,7.37107886,7.465666464,6.844133616,6.670654958,6.730917559
Gm35019,3.767561143,3.935923604,3.61256701,3.42639196,3.509680674,3.116404243,2.899003664,2.972946429,2.826316636,2.814569217,2.700934183,2.732374611
Gm41309,1.371410933,1.470143846,1.462024552,0.931615556,1.012800632,1.346353509,0.929522195,0.931085821,1.01212482,0.940290122,0.933504516,0.923923161
Rims2,6.408446066,6.27335951,6.427742644,5.900056149,5.588509744,5.887017553,5.740189717,5.823383997,5.478624071,4.742564496,5.06413881,4.721965991
Gm33251,1.204719447,1.244429676,1.179959265,0.91348484,0.826778928,1.231681229,0.909345089,0.912437042,0.90736079,0.836728997,0.830827467,0.822527432
LOC118568179,3.624118055,3.772085992,4.193705955,3.714366376,3.79399258,4.080431584,3.801964806,3.336116994,3.790285505,3.344738372,3.09752494,3.046432055
Rspo2,10.80103673,10.79246681,10.82717452,11.37021623,11.34334451,11.3257988,11.37994765,11.4034078,11.31913676,12.67718962,12.69255728,12.71642114
Tmem74,8.596425214,8.734093754,8.610177326,7.225889996,7.031473898,7.151426329,6.927091994,6.650413225,7.061883748,6.55410842,6.711082277,6.682115678
Gm52217,2.143118075,2.714112001,1.995532237,1.684999353,1.416910668,1.41523055,1.596090213,1.602094491,1.507891657,1.43653182,1.42495152,1.40837707
Aard,9.962335074,9.926780143,9.850881595,8.942231841,8.793568121,8.896567576,7.178699794,7.415509208,7.428798747,5.975381465,6.207541346,6.145959396
Ccn3,11.20774556,11.18339329,11.24495851,12.94421846,12.90399511,12.92312175,13.03009949,13.03753301,13.02727887,12.79966146,12.74296784,12.76463614
Enpp2,6.638727747,6.7324722,6.753391344,8.893511265,8.778930663,8.910375547,8.711466128,8.650761071,8.63786172,8.086224522,7.870707192,8.005962854
Tbc1d31,11.89889251,11.86260279,11.85182191,11.66036272,11.60450545,11.65167121,11.12252368,11.09114966,11.08362655,10.24280198,10.26809838,10.19096422
Kcnq3,8.076171386,8.126523085,7.939580312,6.994817284,6.777753686,6.848277816,6.426896247,6.557454069,6.472074228,5.299775767,5.150847569,4.974534236
Lrrc6,6.175089575,6.361408678,5.914332076,6.407540626,5.94514522,5.977800999,4.62230033,4.606837964,4.236562977,3.827946609,3.782662491,3.716952389
Khdrbs3,10.72390277,10.73984952,10.63224071,10.3618068,10.43134181,10.44421557,10.02466198,10.02309357,10.03299837,9.349750188,9.439070935,9.361741334
Gpr20,2.821367544,2.927989095,2.878044741,2.52435743,2.177738054,2.248284801,2.617314563,2.399152051,2.503338056,2.298257275,2.344172284,2.162271165
Adgrb1,7.932759001,7.967186055,7.843039387,6.294173375,6.307884933,6.330522125,5.469376395,5.207350285,5.620890726,4.774165727,4.655375034,4.987620177
Ly6g6g,1.974448588,2.253222169,2.241523382,1.459347656,1.364103145,1.449501366,1.365140071,1.457959036,1.363621539,1.381337313,1.464293069,1.652756391
Rhpn1,6.858172255,7.074405428,7.080080652,6.806084416,6.989028385,6.786200393,6.269095661,6.034247796,6.193097511,5.7253784,5.857564691,5.480299761
Mapk15,9.694890352,9.746228811,9.735978853,8.837293762,8.664787626,8.744334095,6.770618376,6.631364502,6.665052625,5.785845788,5.655859384,5.747818258
Scrib,12.868598,12.90558664,12.87019045,12.19478635,12.19630167,12.22406894,11.93863986,11.95468372,11.96164851,11.05771136,11.15280645,11.09748001
Nrbp2,8.917043383,8.833013036,8.927767332,9.704869075,9.662062666,9.707550468,9.552093202,9.378135088,9.500524175,10.276954,10.23635805,10.19321273
Scx,7.743510417,7.932974648,7.82672585,8.591642008,8.582456416,8.495220241,8.898294647,8.900265976,8.966589474,9.279202219,9.516045182,9.552240244
Slc39a4,5.358881581,5.440399435,5.380724016,5.2662114,4.913368927,4.742402589,4.126660276,4.450160924,4.703035303,3.632635532,3.590310896,3.529244431
Ppp1r16a,11.2004805,11.25494505,11.2159142,10.68442261,10.67789875,10.69779345,10.22032497,10.25651632,10.22651214,9.711969455,9.861544587,9.821217004
Gpt,8.313852472,8.443089924,8.452942259,7.398400123,7.43768392,7.356607388,6.868668815,7.173413372,7.013835411,6.666369529,6.739762655,6.790070081
Apol7a,6.827537168,6.689592065,6.718225042,6.697252565,6.615507213,6.510494689,6.147427705,6.060867907,5.950462712,5.264009593,5.151742922,5.329164602
Apol9a,8.319092324,8.352708826,8.23949517,8.535729118,8.294559463,8.028390872,8.717803483,8.716822499,8.564921262,6.735750425,6.633049536,7.159256772
Apol9b,7.745813247,7.535177841,7.663120689,7.880480939,7.725856603,7.475279144,8.066253966,8.097740133,8.01070445,5.673510413,6.062340249,6.113227146
Apol8,5.123846839,5.530559878,5.416331437,5.108835635,5.005828495,4.9049906,4.906343829,4.856536358,4.980065419,4.106363178,4.381934999,4.155918003
Gm36738,3.534073689,3.714830924,3.597583522,3.917985434,3.908846017,3.621433502,2.902231008,3.373445763,3.147484148,2.956774035,2.922497355,2.999686046
Elfn2,1.498762357,1.198607615,1.692174036,1.489245761,1.195987592,1.731645708,1.197514218,1.280097582,1.11244611,1.125618078,1.118025295,1.107304071
H1f0,10.58696391,10.61808844,10.56411436,11.81523401,11.68485242,11.76623525,11.89075556,11.88541428,11.87369555,12.05585821,12.13788167,12.11859731
Gcat,6.836087944,6.686924541,6.893190807,8.350856633,8.266497786,8.258124025,8.406754984,8.46685465,8.415546836,8.109415427,8.181077832,8.230944198
Ankrd54,11.07294823,11.09461565,11.05070423,10.89063007,10.82544166,10.92470491,9.921620287,9.870232706,9.997011238,9.412231686,9.392343811,9.463680381
1700088E04Rik,6.701911984,7.054861504,6.780955587,6.908511123,6.713895834,6.79241407,5.628214594,5.533419341,5.830225715,4.950662094,4.600833495,4.80868297
Fam227a,8.781357984,8.800325218,8.785532146,7.791744771,7.791019966,7.908157386,6.740916027,6.661204094,6.772818988,6.300196413,6.310746858,6.004546728
Cby1,10.76151047,10.68794967,10.7035749,10.46306868,10.41339799,10.46486278,9.426642798,9.381612615,9.46905678,9.115052839,9.197893193,9.204974739
Cacna1i,4.008391938,4.116702888,4.158555765,2.820176249,2.864404127,2.648377478,2.578667209,2.66890803,2.72677195,2.542168657,2.413425008,2.377540903
Mchr1,2.376353794,2.31861099,2.470164093,2.999273646,2.539463383,3.32792551,2.886643367,2.89998374,2.925261336,2.519727824,3.223919559,2.883743775
Tef,9.296263891,9.325414698,9.330548546,9.988034417,9.955328538,9.990109463,10.01961016,9.993684166,10.0120086,10.88397763,10.91458198,10.88630897
Shisa8,11.79669522,11.80667084,11.7572977,10.87124437,10.80981206,10.73252839,10.09252617,10.05507502,10.11041303,7.31931994,7.277125283,7.286824421
A4galt,8.314388812,8.338572143,8.279546993,9.30318217,9.345845143,9.25481712,9.006281768,9.058342629,8.972004196,9.868979492,9.924413504,9.907465648
Scube1,5.750906823,5.791329206,5.509821684,6.888565533,6.886767002,6.632765855,7.122541538,7.259518879,7.365876188,6.84947369,6.958511052,6.738574426
Efcab6,3.065889428,2.837603457,2.967265796,3.395274228,3.050232132,2.999385635,2.32902936,2.334643924,2.720401293,2.272604427,2.255171817,2.230297445
Prr5,7.500563873,7.427827753,7.48608691,8.110216668,8.161170193,8.082781422,8.524654649,8.562326754,8.523563829,8.727992103,8.875112989,8.830495425
Smc1b,3.490408682,3.174342316,3.47645201,2.905609346,2.710748032,2.704922912,2.991444974,2.901539423,2.881755007,2.628053288,2.434857924,2.794022312
Ribc2,6.955006642,7.000505521,6.824512472,6.643338429,6.652833336,6.577893123,5.245850957,5.076055778,5.09911735,4.576923366,4.458913692,4.600534091
Ttll8,3.565196306,3.74264085,3.290908873,3.599830745,3.785345569,3.826975085,2.918616691,2.709834502,3.089417112,2.914028809,2.633763862,2.601846579
Odf3b,4.533636352,3.778014735,4.13376472,4.705905696,4.362380251,4.573021308,3.204717143,3.28302611,2.975762534,2.943771177,2.913663774,2.870227357
Syt10,5.284578732,5.136142935,5.191571711,3.634878212,3.74822569,3.541307683,3.319225155,3.263281846,3.548324343,3.080200862,2.945467653,2.979729014
Cntn1,3.108213426,3.072261152,3.066575725,4.203005166,4.430050654,4.436335476,4.303559055,4.078752411,3.807206631,3.488602424,3.903181224,3.354005566
Gm30181,2.551428137,2.55675906,2.88620288,2.273088772,2.191259012,2.540197439,2.552977117,2.565008776,2.383073769,2.060861796,2.13154878,2.236828498
Nell2,9.089846318,9.022011394,9.000601509,9.93412638,9.951441894,9.882303043,9.889493009,9.892772016,9.957050133,10.46402955,10.4703503,10.45815928
Gm32406,2.127649004,2.332717142,2.461241769,2.057350843,1.975905926,2.645130088,1.829923327,1.913023663,2.040879617,1.765270904,1.753419346,1.814158292
Gm32733,1.672018862,1.868972762,1.762321701,1.3263317,1.319954342,1.317725861,1.238373717,1.668040529,1.465769818,1.251297116,1.243152602,1.308668917
Ccdc184,4.998220618,5.19830363,5.214612116,5.739520572,5.548400852,5.543550873,4.530291057,4.059767243,4.871883691,4.03057602,3.971973958,3.712187994
Olfr287,2.698272785,2.725611738,2.537816524,2.509377491,2.435958454,2.428926691,2.385786588,2.207306898,2.125780213,1.993963083,1.980700853,1.961915071
Ccdc65,9.678402533,9.70744108,9.742815548,9.359068601,9.396524887,9.463475534,7.833798731,7.88963672,7.845513424,7.25635272,7.153549425,7.254603981
Dhh,5.117953817,4.940326812,5.051441853,4.618351854,4.405766211,4.739638501,4.590022901,4.638071568,4.815397801,3.793332216,3.975522413,3.979520505
Gm41396,6.358259131,6.366083164,6.252270859,5.235318782,5.402294832,5.386316687,4.994041701,5.091425346,5.029347652,4.166682995,4.604001551,4.192072424
Prph,6.347828089,6.119673629,6.111811334,6.518305225,6.467351625,6.432856498,6.281944434,6.053477172,6.234100353,5.000287551,5.164953438,5.178758409
Dnajc22,3.675723443,3.642550379,3.668652069,4.05383373,4.167085203,3.91990726,3.37074118,3.331874436,3.664481209,3.284439614,2.874548149,2.913704806
Kcnh3,5.694473017,6.004709323,5.91689821,6.347079764,6.656057035,6.581701369,4.857533665,5.176936508,5.2702413,4.087341018,4.106127971,4.029281727
Fam186b,8.562921412,8.598246696,8.541622617,7.56838043,7.486788678,7.484277943,7.28780491,7.249803908,7.343086615,7.334299536,6.90065267,7.08314281
Faim2,2.247942506,2.188697934,2.409885137,2.351750469,2.749800514,2.529778048,2.540251757,2.816701539,2.533907234,2.945997346,3.090651408,2.877568228
Aqp5,5.017834579,5.367487875,5.013077093,6.290849436,6.309048567,6.17913058,6.277238047,6.337758307,6.314083265,7.373469209,7.66481042,7.618481052
Gm17057,2.543237265,2.691428026,2.879564295,2.6115825,2.588769198,2.531832906,2.317471847,2.187917798,2.247056313,2.047421319,2.11872465,2.014556368
Igfbp6,7.470410064,7.622691818,7.519591301,8.762707663,8.586212947,8.768026734,8.554893164,8.608885282,8.633829746,8.735508865,8.844214383,8.897608704
D930007P13Rik,4.860726947,4.792438689,4.69132104,3.824888808,3.52771324,3.358700913,3.374103986,3.388562764,3.177884284,3.106323259,2.980277864,2.927115751
Ppp1r1a,2.847048399,3.012696084,2.943787377,3.242927652,3.00447839,2.937237668,3.360631621,3.020170368,3.391957092,3.676410136,3.670297699,3.948653597
Gm36195,4.916666429,4.589457879,4.941680552,3.962896331,3.851071525,3.798483661,3.678911441,3.590227637,3.669023119,3.783248311,3.430415048,3.417243089
Gm41409,2.926021831,3.106338295,3.126210298,2.277129695,2.467659638,2.679389283,2.268242479,2.542994645,2.335620458,2.131265744,2.203700703,2.171583174
1700037C18Rik,7.048627741,7.073338224,6.99968591,7.092531349,7.03932004,7.128872495,6.169301977,6.114073902,6.190609756,5.724976411,5.7015349,5.524973506
Glis2,10.07202734,10.02548861,9.981620558,10.27456599,10.31128572,10.28091664,10.68080387,10.66307284,10.61418506,11.5116725,11.53559484,11.52755978
Pam16,4.358508227,4.171052059,4.019438908,4.495327213,4.695147212,4.511629229,4.62237592,4.699440961,4.664106229,5.456991149,5.43795988,5.522209195
4930451G09Rik,5.182919814,5.442735523,5.306618694,5.31957621,5.024447836,5.209722078,4.621114029,4.329321844,4.607990616,4.511501657,4.02146947,4.358706193
Carhsp1,13.01276313,13.00547493,12.98362255,11.91139596,11.91985974,11.89163837,11.86936473,11.86779412,11.90457186,11.43757628,11.47305681,11.46753742
Gm10832,3.726256026,3.39871772,3.473307791,2.736985947,2.523678283,2.199521032,2.294732466,2.385794185,2.450007266,2.336965979,2.21611343,2.556063943
Gm9861,6.249665516,6.301742324,6.471996161,5.4304981,5.164609648,4.954812959,5.261190371,5.305687447,5.224971019,4.937258883,4.552694534,4.697924335
2610020C07Rik,4.841055555,4.913951616,4.860424671,4.196251126,4.493356341,4.116662369,4.272824803,4.076993913,4.124200921,3.829932699,3.974371276,3.919613284
4833415N18Rik,2.9592949,2.847653676,2.876572498,2.258053652,2.556802604,2.549631205,2.448045009,2.517197587,2.44177575,2.207898819,2.100858936,2.080185038
Efcab1,7.454643888,7.268526195,7.338890945,7.727385332,7.795372093,7.936824477,6.143232092,6.168493391,6.259174967,5.157925041,5.280997478,5.428249349
Spag6l,9.004627166,8.941048895,8.802871241,8.11042041,8.082802565,8.158184293,6.031536978,6.221063128,6.483164474,5.004009765,4.955831194,4.887169868
Rpl31-ps12,1.724871422,1.652269063,1.541539089,1.084670636,1.078381138,1.155458886,0.992169056,0.993930879,0.991037269,1.004273415,0.996653355,0.98584844
Rimbp3,3.455467834,3.124254734,3.4603117,3.090869096,3.42647467,3.104770634,2.917345138,2.928627517,3.015274549,2.541958232,2.822972927,2.570401275
Tmem191c,3.670856367,3.836509327,3.653136361,4.3948652,4.222262495,4.651596538,4.722990135,4.698014368,4.661054915,5.05715246,4.975158781,5.149172592
Aifm3,3.671067675,3.216339878,3.565911701,3.740484142,3.96794714,4.095528628,3.037546721,3.467708905,3.352825321,2.786314889,2.763841581,3.000691533
Lrrc74b,4.587128821,4.77696277,4.696211522,5.04204534,5.148276399,4.979146739,3.953798139,3.926506899,3.58762653,3.297637743,3.263068125,3.288912382
Ccdc74a,8.742445968,8.774035352,8.803320338,8.800372234,8.750284637,8.816228814,7.881707939,7.896788547,7.941632701,7.582401869,7.411352078,7.343005713
A930003A15Rik,2.066919218,2.27346297,1.700259148,2.183534088,2.440127858,2.507865063,1.614820152,1.706480945,1.613061777,1.633574952,1.621778667,1.604988521
Map6d1,7.270921094,7.1073065,7.065325439,5.833341898,5.904973618,5.968471562,5.957631118,5.840195819,5.82781873,4.615973179,5.269219417,4.730126274
Chrd,7.485421326,7.775399784,7.605162834,7.65245715,7.817708818,7.863821749,7.930944057,7.901685843,7.871695339,9.311552508,9.291632605,9.311243705
Liph,4.370575031,4.160802697,4.323629283,4.063348358,4.058590539,3.952444999,3.831951206,3.591957839,3.742867023,3.308445729,3.118950397,2.998663655
Kng2,4.485267565,4.355799754,4.298497187,5.316845748,5.538493258,5.330859416,5.661586215,5.837483456,5.503474279,5.467706812,5.569875501,5.249884009
Kng1,3.578644809,3.742860161,3.979530663,4.498449128,4.639133064,4.42065892,4.672148479,4.671272522,4.484474783,4.800102956,4.494587075,4.67574867
Plaat1,6.047024774,5.947641745,5.732475585,6.048347321,5.850150942,5.79840684,4.744722003,4.554001058,4.444394437,4.48190885,4.500189253,4.351487197
4632428C04Rik,4.723075667,5.054967475,4.955442677,4.540225278,4.551069253,4.795543926,3.85469953,3.870204519,3.796274154,3.596491278,3.735346201,3.652007842
Gm32998,3.616111347,3.506688158,3.492837289,3.049616358,2.745147868,3.235223556,2.871364288,2.759057308,2.531011234,2.576238461,2.704452866,2.651696298
Gm52252,2.251892583,2.484869734,2.432615085,1.966462438,2.19453297,1.949673901,1.810323053,1.964093692,1.952599087,1.839550526,1.73487349,1.79507369
Tctex1d2,9.505011666,9.492514128,9.482766517,9.179190212,9.203773069,9.193993459,8.256859439,8.348850984,8.41114114,8.022350801,8.087138016,8.052082536
Iqcg,10.82520034,10.88802247,10.79342439,10.05804598,10.04320305,10.14363593,8.599794254,8.567476314,8.609046657,7.098314174,6.891615017,7.076847745
Lmln,10.34800592,10.38491657,10.31024487,9.975246286,10.01649999,10.11716167,9.201549142,9.142434998,9.11823941,8.186302929,8.067348637,8.095158808
Muc13,3.197151754,3.11534019,3.157101329,3.954427201,3.811430967,3.948756201,3.259714596,2.883880769,2.930751858,2.604096763,2.581361699,2.548726764
Eaf2,7.290932642,7.144059895,7.146112338,6.572373262,6.433370316,6.44280025,5.63510656,5.839179423,5.560031434,5.614806264,5.47368672,5.293396367
Maats1,9.509047767,9.57411226,9.501814687,8.861414523,8.735222358,8.818411453,6.789200357,6.969024622,6.852110751,5.407831844,5.408268194,5.301276524
B4galt4,7.506390862,7.488195544,7.51205324,8.298310906,8.148739896,8.276404896,8.299728562,8.267079644,8.283303368,8.798976312,8.868682892,8.754649565
Upk1b,4.356066971,4.390721628,4.20196254,5.088591813,5.003330559,5.28079898,5.25472733,5.164653328,4.929065893,5.715981044,5.454422052,5.650492364
Igsf11,5.519287425,5.55720225,5.565104034,5.354467303,5.257947753,5.242420298,5.176174413,5.180640375,5.121320884,3.998805874,4.13202091,4.276697874
Lsamp,3.402342913,3.247253209,3.379985034,4.263535941,4.283620119,4.024176924,4.264833049,3.577285256,4.306499798,4.624189662,4.454175112,4.454981257
Ccdc191,9.419285827,9.482627596,9.364806555,9.042842544,9.100223583,9.177860046,8.427738406,8.432227046,8.418131408,8.127134253,8.16198131,8.015885331
Cfap44,11.01496012,11.09081222,11.00637127,10.02780571,10.03465465,10.07984174,8.498913631,8.397517967,8.447755993,6.520196948,6.430649134,6.516203469
Cd200r2,2.592943156,2.251559237,2.187304344,2.141067082,2.243951905,2.121556641,2.354226435,2.072465063,2.295643716,1.860667714,1.849039529,1.975842315
Tmprss7,2.021686698,2.188994539,1.882936042,2.128564935,2.043461418,2.298436402,1.884182604,2.259470802,2.113804527,2.885068098,2.395347925,2.710046683
Gm15638,5.266834361,5.315783161,5.041946398,4.865337347,5.175775386,5.159466443,3.966941437,3.63032174,4.094942147,3.897980509,4.00597321,4.162263495
Plcxd2,8.667648632,8.719454382,8.586662284,8.393634295,8.300659268,8.460954971,8.977021814,8.958374152,8.938709598,10.08557853,10.08691144,10.05870777
Gm4827,1.7666453,1.528290496,1.629732266,1.191541463,1.185407965,1.183264837,1.264193704,1.342341854,1.184705381,1.115180034,1.107705357,1.097156208
LOC118568242,1.144194995,1.406118284,1.170175833,1.306976036,1.169921487,0.873928758,0.875454206,0.876895041,1.032171917,0.885390007,0.879125119,0.870300459
Cep97,9.634663585,9.622500543,9.565528088,9.06324493,9.035289555,9.115441717,8.199896346,7.918225979,8.066917551,8.307274961,8.200772073,8.292164673
Abi3bp,11.68939628,11.77528752,11.77050462,11.86986027,11.89192835,11.8726718,12.00456477,11.97830396,11.91916941,13.79159394,13.71329674,13.68066317
Chodl,6.529226511,6.455066505,6.424522698,9.5206312,9.505945018,9.57987548,8.409119719,8.333663718,8.436017584,7.72018657,7.798049724,7.737367869
Cyyr1,6.418833136,6.276700101,6.28868371,5.457437299,5.413506603,5.221600306,5.696490311,5.312513031,5.426412646,4.700703575,4.290373056,4.759245236
Adamts1,12.2496737,12.2185181,12.28417367,13.19033872,13.19605437,13.20899623,13.44389274,13.48104064,13.39645122,13.70909917,13.69907527,13.64336574
Hunk,8.421933087,8.352477991,8.325011724,8.074592134,8.135726062,8.233653203,7.879750604,7.9913714,8.067446449,6.894892515,6.797330308,6.960624656
Cfap298,11.19918767,11.21758645,11.16361305,10.6820255,10.67424564,10.75282563,9.573146599,9.612659745,9.674352588,8.993544932,9.131418972,9.128621345
